"","Município","UF","Operações de Crédito por Município","Proporção Relativa de Capital de Risco","Capital Poupado per capita","Índice de Capital Disponível","V7","Tempo de Viabilidade de Localização","Tempo de Registro, Cadastro e Viabilidade de Nome","Taxa de Congestionamento em Tribunais","Índice de Tempo de Processos","Alíquota Interna do ICMS","Alíquota Interna do IPTU","Alíquota Interna do ISS","Qualidade de Gestão Fiscal","Índice de Tributação","Simplicidade Tributária","CNDs Municipais","Atualização de Zoneamento","Índice de Complexidade Burocrática","V16","Nota do IDEB","Proporção de Adultos com pelo menos o Ensino Médio Completo","Taxa Líquida de Matrícula no Ensino Médio","Nota Média no ENEM","Proporção de Matriculados no Ensino Técnico e Profissionalizante","Índice de Acesso e Qualidade da Mão de Obra Básica","Proporção de Adultos com pelo menos os Ensino Superior Completo","Proporção de Alunos Concluintes em Cursos de Alta Qualidade","Custo Médio de Salários de Dirigentes","Índice de Acesso e Qualidade da Mão de Obra Qualificada","V13","Pesquisas pelo Termo Empreendedora","Pesquisas pelo Termo Empreendedorismo","Pesquisas pelo Termo MEI","Índice de Iniciativa","Pesquisas por Sebrae","Pesquisas por Franquia","Pesquisas por SIMPLES Nacional","Pesquisas por Senac","Índice de Instituições","V12.x","Conectividade Via Rodovias","Número de Decolagens por Ano","Distância ao Porto Mais Próximo","Índice de Transporte Interurbano","Acesso à Internet Rápida","Preço Médio do m²","Custo da Energia Elétrica","Taxa de Homicídios","Índice de Condições Urbanas","V12.y","Proporção de Mestres e Doutores em C&T","Proporção de Funcionários em C&T","Média de Investimentos do BNDES e FINEP","Infraestrutura Tecnológica","Contratos de Concessão","Índice de Inputs","Patentes","Tamanho da Indústria Inovadora","Tamanho da Indústria Criativa","Tamanho das Empresas TIC","Índice de Output","V14","Índice de Desenvolvimento Humano","Crescimento Real Médio do PIB","Número de Empresas Exportadoras com Sede na Cidade","Índice de Desenvolvimento Econômico","PIB per capita","Proporção entre Grandes/Médias e Médias/Pequenas Empresas","Compras Públicas","Índice de Clientes Potenciais","V11"
"1","São Paulo","SP",2.06841140162815,8.7534754295133,73537.9997258875,12.0226554350435,12.0226554350435,0.182487569652707,37.6790908189119,0.962139676962165,5.86671501163899,0.0802103444976061,0.0175325714141158,0.0306645083779937,0.820590946632236,5.44039931893776,0.0869920039565885,1,4,8.98387552299073,7.60175630243107,4.9,0.565610739679508,0.764095431084877,566.062000949217,0.0152579030538345,6.805784321184,0.405430860660087,0.168245162583966,11044.569811139,5.27226623830518,6.04663775445011,18.24,29.28,68.4,5.92216936034631,38.76,66.75,53.46,6.5,6.45947111805016,6.20308267492609,16,36387,50,8.652782583,3.675522806,5761.172658,0.594588207,2.428129779,8.773293096,10.0455143,5.46158228718493,0.0731876827809704,32640.9296785918,0,279.232235123082,7.9864694068667,7.7365867075303,0.0110135360798413,0.0207815170625332,0.0249975442525687,7.57259609962921,7.93368186728581,0.805,-0.015277015,0.01309601,6.549874005,61.61528429,1.367010204,804009.5502,7.244310336,7.082457789
"2","Rio de Janeiro","RJ",0.505407918466433,1.15858825265163,45609.4117701841,7.38745067185918,7.38745067185918,0.00303030296848485,34.7362237089388,0.964130652040301,11.0559683313327,0.0680447322993826,0.0116266755375062,0.0189280862878156,0.304264031501384,4.87418639451683,0.0495012873088252,0,44.0000000000007,5.35474801419077,8.29665515913977,4.9,0.556801721640525,0.764038993022793,571.77874734082,0.0112138027747122,6.65691649637658,0.358668211728676,0.292525369392822,8535.62522445507,5.782181124169,6.2623751468363,27,31.36,63,5.98075632881875,22.62,70.31,30.68,34.04,6.42226925853044,6.21446235128525,4,42453,24,6.588110418,3.049845171,4252.999939,0.8022,16.08722879,5.052555871,5.732091893,17.6248241912799,0.0699481561018457,4145.10831320323,1,213.168073136428,7.45643525312364,7.76195499296765,0.00416666666666667,0.0222134317862166,0.0184423347398031,6.93285258645012,7.298127995306,0.799,-0.024804746,0.005924754,5.883595618,52.39145275,1.401563285,810772.7787,6.993479326,6.529152208
"3","Brasília","DF",0.673649860977431,0.0138393251276017,30904.1085658423,6.62140217035562,6.62140217035562,12.3168733706214,25.7542297932075,0.963317648389888,6.13554914964788,0.0442751622957986,0.00462837779277905,0.00811560392939832,0,7.00359423115413,0.0429151498920228,0,0,5.03091816515158,6.11889932755842,4.6,0.496215928575652,0.737778320702456,550.350558242366,0.0117817730663993,5.8444784820243,0.39076450067995,0.339875596352437,6234.38238440073,6.64759394546247,6.29402932144228,67,50.16,80,7.35939106147139,76,83,77,37.23,8.367399492536,7.98314025225298,13,38790,880,7.850897533,3.110341674,1343.337221,0.57487,14.63970333,6.662620813,7.874001585,10.2412339700475,0.0475159325918145,4353.47598565151,1,162.317280961349,6.66306785414105,4.80674378979464,0.00245717872836517,0.0152452694825576,0.0175051564882073,6.01786244956346,6.3699573887459,0.824,-0.00268192,0.001542463,6.2691261,88.42436105,1.346956425,1525630.184,8.136410779,7.451295764
"4","Salvador","BA",0.505333104387137,0.354699019898454,12869.4538107705,6.05995567180888,6.05995567180888,71.6772924659687,53.9731516063554,0.964233987576573,5.48973801550565,0.1063845782264,0.0137459069285758,0.0205937661129911,0.940123570568697,5.29955823531593,0.0355237340636233,1,4,7.47937886931968,6.18784547051684,3.7,0.539140748550343,0.786428264839112,553.644866911427,0.0151019779738016,5.90729024603198,0.279081005095765,0.244428423659217,5490.46806003237,5.802005731719,5.82629486712153,58.32,23.75,64.5,6.28295021810878,55.68,39.68,28.08,20.47,6.13556466729699,6.22270468473812,5,20480,5,8.253402529,2.033387707,2715.690053,0.74949,44.71921882,4.683314431,6.698387211,8.80750058114007,0.0479053467511173,32.0603352532479,1,130.227032053103,6.20039769929647,5.21734638530878,0.00170467753183356,0.0168918046336235,0.0144897590205853,5.910236952376,6.06010909870641,0.759,-0.03754573,0.001704678,4.903923725,21.9990008,1.679414233,570356.4545,6.49970467,5.640200243
"5","Fortaleza","CE",0.513271746079276,0.0119183930572659,14054.6907898266,5.98008835019564,5.98008835019564,11.4892629123177,49.7307120457473,0.959085356789489,5.64570603107743,0.0992800309397145,0.0100970423188295,0.0152776265358885,0.810892292960584,5.37307134775193,0.0293684350976563,1,3,7.78090875059703,6.55910430846336,5.1,0.280999027622718,0.676704210333222,527.880783780589,0.0125584071180372,4.56787886880888,0.12185327907228,0.291926433915212,4173.03305081013,5.65034254578941,4.93532919309906,79,23.76,61.5,6.51514314144413,43.89,37.24,51,23.78,6.32839446466726,6.44887238945312,9,13382,10,7.637920009,2.46389553,3355.099201,0.73145,48.75358392,4.845971573,6.360774606,15.0828494547515,0.0551546863707291,195.389751215597,1,138.790539583628,6.52136982501437,5.33446631732993,0.00455553981966671,0.0154133031204268,0.017278005948166,6.12955300328687,6.35365397680689,0.754,-0.013348899,0.002738045,5.260456757,24.93636067,1.035420576,627390.9901,5.29540807,5.12873202
"6","Belo Horizonte","MG",1.28081790394768,4.68120580687971,37183.2784931922,8.89166083674326,8.89166083674326,3.34709782609755,41.9186853718288,0.940318553996116,6.1610829253831,0.104240103539998,0.0169031164569207,0.0196801900099009,0.756291321049953,4.83768800853437,0.0418381657021422,1,24.0000000000001,6.46031258135943,5.62181570243756,4.7,0.532007896221094,0.680194261818075,601.853085177733,0.0115171665124183,6.56676057245684,0.421037789058094,0.432178521871659,5902.22784814828,7.31185387938459,7.12253339482518,32.76,28.14,50.73,5.72473014534294,33.5,50.4,33.6,11.2,5.85319190476811,5.77539929870405,8,30048,337,5.864834108,3.925975451,4005.256638,0.61805,15.80589726,6.234013541,6.073697751,15.0242074027799,0.0733220958776038,5159.22181055755,1,197.017023270342,7.32624928324617,9.79228486646884,0.00601280649695455,0.0166015930032797,0.0214899265969077,7.02274832889766,7.27623784406605,0.81,-0.020653376,0.005356864,6.055129598,38.4104345,1.503972273,594003.9874,6.714790873,6.464504339
"7","Manaus","AM",0.214687896373288,0,7710.9877654314,5.57779776782418,5.57779776782418,6.20511350777699,26.2446460601155,0.968062215263815,6.01751668886889,0.120657876525217,0.00381570775713444,0.0102499060476513,0.914029446777819,6.09030768148576,0.0183194874820803,1,6,6.4950135599117,6.42147696666793,4.8,0.480586688014639,0.81550831091888,496.053943848903,0.00685797121449678,5.18846551822005,0.165713632204941,0.102099927588704,5868.25719103161,4.38836998065656,4.55208019346404,89,39.2,62.37,7.03946180486223,62,49,60,20.21,6.91902029416469,7.04216875824181,4,10526,60,5.47151671,2.14419104,1547.733014,0.80372,36.30475246,4.806783453,4.716353821,16.1188550450295,0.131201998108473,1335.44645499914,0,118.453507715253,6.28387764136169,3.55647335513107,0.0114151322205013,0.0148568806286927,0.020707852922618,6.41653512599299,6.38054243884448,0.737,0.010587613,0.019044341,6.404177263,37.6201561,1.181203553,1034996.872,6.032479298,6.263441323
"8","Curitiba","PR",0.755065237231201,6.58676583185908,38313.5806135887,9.26366978779183,9.26366978779183,2.95883333382072,17.6797090173313,0.966118696404989,6.62907616115524,0.0842502936233628,0.0111137422179833,0.0181702907186215,0.817562186141542,5.64853828747064,0.0459461445112768,1,19.9999999999998,6.62854099063767,6.6335428258499,5,0.546413502109705,0.655116391556339,571.530892437183,0.0155613082390488,6.5112301886942,0.449212719975301,0.223233041665977,6551.38343177752,6.44740350300562,6.57281489093347,56,37.4,62.32,6.52339788284714,36.98,56.8,53.72,9.3,6.31342855983597,6.44530117230496,9,13739,60,6.590044691,4.132942172,2789.359336,0.55881,14.51322639,6.831111895,7.059570422,19.992929808712,0.0753354076262154,341.667351231392,1,232.766408735614,7.56696285992764,12.058604030009,0.00907341215287325,0.0171255744530421,0.0210927373423937,7.34252334904803,7.58075784644759,0.823,-0.006573469,0.010232138,6.738572192,48.93154595,1.61992605,554522.4827,7.316098734,7.239613176
"9","Recife","PE",0.58367616290876,0.331627729546465,20800.564487299,6.35511916151402,6.35511916151402,11.9643178977601,45.1270771273754,0.96762036567159,5.53367983330189,0.106915492962018,0.0103794117179893,0.0182900843464044,0.722818769013016,4.84739330935618,0.032155655976016,1,24.0000000000001,6.1772779366669,4.99206439479058,4.8,0.530177451917968,0.73510996300212,561.618493765586,0.0434429019012702,7.66251226466168,0.329561151843587,0.256814395201599,5330.13285917496,6.22548178548789,7.12813801067417,47.45,29.4,63.7,6.24270801636959,28.08,45.1,35.51,27.75,6.02525805647503,6.14259301605369,9,30800,7,8.617624814,1.708743499,6278.228402,0.7358,46.29693736,4.425957903,6.778063016,34.8914805046236,0.0517981012206093,3086.42110140138,1,135.879754679208,7.17674290694673,7.94432616225492,0.00530680987638628,0.0157297658012647,0.0219263402078236,6.79653882984474,7.07210701981057,0.772,-0.018450231,0.001874861,5.369100647,32.92634753,1.303298495,531802.1492,6.116864098,5.689874973
"10","Goiânia","GO",0.850186227831005,0.104838862199033,17925.864936045,6.35810552263092,6.35810552263092,9.60632582810133,13.9321303950133,0.845726829601067,9.90173097886115,0.114798797862806,0.0159095143314739,0.0164707587184302,0.829262613611592,4.95777088849092,0.0426481677632902,1,12,6.72471955331077,8.50592521870637,5.4,0.476662838049494,0.653020726158583,570.411793996301,0.00644736081982408,5.9514144464458,0.294612091469145,0.222670490448646,4908.81692919827,6.04501091538042,5.99786403712558,48.97,37.7,77.19,6.74841108504508,40.87,52.26,56.7,25.2,6.66184433610168,6.75044042618033,11,7909,871,6.662466571,3.465832404,1895.993924,0.63689,28.54156462,5.987586122,6.484659195,10.0959864723728,0.0455270620145481,68.2374556124733,0,193.614164221415,5.89108751951372,4.62525488635799,0.00790769383796688,0.0154423832496146,0.0157159198289153,6.04737072094854,5.96656364310188,0.799,-0.010208595,0.003804645,5.967943517,34.01485576,1.086009615,461055.5266,5.713913824,5.808059857
